"Account ID","HIFO-TEST-ACCOUNT"
"Name","HIFO Test User"
"Account Username","hifo-test@example.com"

"Reference ID","Date (UTC)","Transaction Type","Description","Asset","Amount (BTC)","Price per Coin (USD)","Subtotal (USD)","Fee (USD)","Total (USD)","Transaction ID"
"bear_market_2025-buy-1","2025-01-01 13:24:53.000910+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.02901297 BTC)","BTC","0.02901297","103402.02","3000.00","0.00","3000.00","tx-1"
"bear_market_2025-buy-2","2025-01-15 07:37:09.000600+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.03571397 BTC)","BTC","0.03571397","84000.74","3000.00","0.00","3000.00","tx-2"
"bear_market_2025-sell-3","2025-01-31 08:15:10.000101+00:00","Sale","bear_market_2025 sale $5000.00 (0.06443820 BTC)","BTC","-0.06443820","77593.72","5000.00","0.00","5000.00","tx-3"
"bear_market_2025-buy-4","2025-02-01 15:47:39.000613+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.04936428 BTC)","BTC","0.04936428","60772.69","3000.00","0.00","3000.00","tx-4"
"bear_market_2025-buy-5","2025-02-15 01:21:14.000323+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.04391389 BTC)","BTC","0.04391389","68315.51","3000.00","0.00","3000.00","tx-5"
"bear_market_2025-sell-6","2025-02-28 11:52:04.000855+00:00","Sale","bear_market_2025 sale $5000.00 (0.05527996 BTC)","BTC","-0.05527996","90448.69","5000.00","0.00","5000.00","tx-6"
"bear_market_2025-buy-7","2025-03-01 15:52:31.000198+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.03172314 BTC)","BTC","0.03172314","94568.20","3000.00","0.00","3000.00","tx-7"
"bear_market_2025-buy-8","2025-03-15 22:56:56.000400+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.03231103 BTC)","BTC","0.03231103","92847.54","3000.00","0.00","3000.00","tx-8"
"bear_market_2025-sell-9","2025-03-31 12:05:02.000293+00:00","Sale","bear_market_2025 sale $5000.00 (0.07978072 BTC)","BTC","-0.07978072","62671.78","5000.00","0.00","5000.00","tx-9"
"bear_market_2025-buy-10","2025-04-01 03:02:26.000286+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.04013644 BTC)","BTC","0.04013644","74745.04","3000.00","0.00","3000.00","tx-10"
"bear_market_2025-buy-11","2025-04-15 05:11:29.000839+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.03249526 BTC)","BTC","0.03249526","92321.15","3000.00","0.00","3000.00","tx-11"
"bear_market_2025-sell-12","2025-04-30 21:53:19.000368+00:00","Sale","bear_market_2025 sale $5000.00 (0.08968319 BTC)","BTC","-0.08968319","55751.80","5000.00","0.00","5000.00","tx-12"
"bear_market_2025-buy-13","2025-05-01 04:04:28.000788+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.03473681 BTC)","BTC","0.03473681","86363.71","3000.00","0.00","3000.00","tx-13"
"bear_market_2025-buy-14","2025-05-15 14:10:57.000098+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.04376166 BTC)","BTC","0.04376166","68553.15","3000.00","0.00","3000.00","tx-14"
"bear_market_2025-sell-15","2025-05-30 03:11:36.000808+00:00","Sale","bear_market_2025 sale $5000.00 (0.11530400 BTC)","BTC","-0.11530400","43363.62","5000.00","0.00","5000.00","tx-15"
"bear_market_2025-buy-16","2025-06-01 22:10:10.000842+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.04960352 BTC)","BTC","0.04960352","60479.57","3000.00","0.00","3000.00","tx-16"
"bear_market_2025-buy-17","2025-06-15 19:46:16.000881+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.03698270 BTC)","BTC","0.03698270","81119.00","3000.00","0.00","3000.00","tx-17"
"bear_market_2025-sell-18","2025-06-30 06:07:47.000701+00:00","Sale","bear_market_2025 sale $5000.00 (0.09775668 BTC)","BTC","-0.09775668","51147.40","5000.00","0.00","5000.00","tx-18"
"bear_market_2025-buy-19","2025-07-01 16:27:59.000584+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.05369049 BTC)","BTC","0.05369049","55875.81","3000.00","0.00","3000.00","tx-19"
"bear_market_2025-buy-20","2025-07-15 16:28:32.000804+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.06717158 BTC)","BTC","0.06717158","44661.74","3000.00","0.00","3000.00","tx-20"
"bear_market_2025-sell-21","2025-07-31 09:56:09.000843+00:00","Sale","bear_market_2025 sale $5000.00 (0.13454283 BTC)","BTC","-0.13454283","37162.88","5000.00","0.00","5000.00","tx-21"
"bear_market_2025-buy-22","2025-08-01 18:37:24.000169+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.04689108 BTC)","BTC","0.04689108","63978.05","3000.00","0.00","3000.00","tx-22"
"bear_market_2025-buy-23","2025-08-15 12:41:31.000050+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.05264381 BTC)","BTC","0.05264381","56986.76","3000.00","0.00","3000.00","tx-23"
"bear_market_2025-sell-24","2025-08-29 08:04:30.000654+00:00","Sale","bear_market_2025 sale $5000.00 (0.10230880 BTC)","BTC","-0.10230880","48871.64","5000.00","0.00","5000.00","tx-24"
"bear_market_2025-buy-25","2025-09-01 05:30:30.000911+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.05924868 BTC)","BTC","0.05924868","50634.03","3000.00","0.00","3000.00","tx-25"
"bear_market_2025-buy-26","2025-09-15 12:15:37.000220+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.09094331 BTC)","BTC","0.09094331","32987.58","3000.00","0.00","3000.00","tx-26"
"bear_market_2025-sell-27","2025-09-30 22:14:50.000848+00:00","Sale","bear_market_2025 sale $5000.00 (0.10645981 BTC)","BTC","-0.10645981","46966.08","5000.00","0.00","5000.00","tx-27"
"bear_market_2025-buy-28","2025-10-01 08:44:22.000412+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.09793470 BTC)","BTC","0.09793470","30632.65","3000.00","0.00","3000.00","tx-28"
"bear_market_2025-buy-29","2025-10-15 21:33:19.000088+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.05367810 BTC)","BTC","0.05367810","55888.71","3000.00","0.00","3000.00","tx-29"
"bear_market_2025-sell-30","2025-10-31 22:41:45.000779+00:00","Sale","bear_market_2025 sale $5000.00 (0.13044226 BTC)","BTC","-0.13044226","38331.13","5000.00","0.00","5000.00","tx-30"
"bear_market_2025-buy-31","2025-11-01 22:57:30.000850+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.12987200 BTC)","BTC","0.12987200","23099.66","3000.00","0.00","3000.00","tx-31"
"bear_market_2025-buy-32","2025-11-15 11:16:38.000482+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.09426908 BTC)","BTC","0.09426908","31823.79","3000.00","0.00","3000.00","tx-32"
"bear_market_2025-sell-33","2025-11-28 08:17:18.000568+00:00","Sale","bear_market_2025 sale $5000.00 (0.10630299 BTC)","BTC","-0.10630299","47035.36","5000.00","0.00","5000.00","tx-33"
"bear_market_2025-buy-34","2025-12-01 13:49:38.000499+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.13580569 BTC)","BTC","0.13580569","22090.38","3000.00","0.00","3000.00","tx-34"
"bear_market_2025-buy-35","2025-12-15 15:05:41.000177+00:00","Purchase","bear_market_2025 purchase $3000.00 (0.10302005 BTC)","BTC","0.10302005","29120.54","3000.00","0.00","3000.00","tx-35"
"bear_market_2025-sell-36","2025-12-31 22:58:27.000510+00:00","Sale","bear_market_2025 sale $5000.00 (0.15984592 BTC)","BTC","-0.15984592","31280.12","5000.00","0.00","5000.00","tx-36"
