"Account ID","HIFO-TEST-ACCOUNT"
"Name","HIFO Test User"
"Account Username","hifo-test@example.com"

"Reference ID","Date (UTC)","Transaction Type","Description","Asset","Amount (BTC)","Price per Coin (USD)","Subtotal (USD)","Fee (USD)","Total (USD)","Transaction ID"
"bull_market_2025-buy-1","2025-01-01 13:24:53.000910+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.02840642 BTC)","BTC","0.02840642","105609.93","3000.00","0.00","3000.00","tx-1"
"bull_market_2025-buy-2","2025-01-15 07:37:09.000600+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.03324078 BTC)","BTC","0.03324078","90250.58","3000.00","0.00","3000.00","tx-2"
"bull_market_2025-sell-3","2025-01-31 18:58:49.000208+00:00","Sale","bull_market_2025 sale $5000.00 (0.05870035 BTC)","BTC","-0.05870035","85178.36","5000.00","0.00","5000.00","tx-3"
"bull_market_2025-buy-4","2025-02-01 15:47:39.000613+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.03484927 BTC)","BTC","0.03484927","86085.00","3000.00","0.00","3000.00","tx-4"
"bull_market_2025-buy-5","2025-02-15 01:21:14.000323+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.03212524 BTC)","BTC","0.03212524","93384.51","3000.00","0.00","3000.00","tx-5"
"bull_market_2025-sell-6","2025-02-28 12:57:23.000426+00:00","Sale","bull_market_2025 sale $5000.00 (0.04355259 BTC)","BTC","-0.04355259","114803.72","5000.00","0.00","5000.00","tx-6"
"bull_market_2025-buy-7","2025-03-01 15:52:31.000198+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.02123730 BTC)","BTC","0.02123730","141260.89","3000.00","0.00","3000.00","tx-7"
"bull_market_2025-buy-8","2025-03-15 22:56:56.000400+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.02154383 BTC)","BTC","0.02154383","139250.99","3000.00","0.00","3000.00","tx-8"
"bull_market_2025-sell-9","2025-03-31 19:51:55.000270+00:00","Sale","bull_market_2025 sale $5000.00 (0.04807573 BTC)","BTC","-0.04807573","104002.58","5000.00","0.00","5000.00","tx-9"
"bull_market_2025-buy-10","2025-04-01 03:02:26.000286+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.02161028 BTC)","BTC","0.02161028","138822.83","3000.00","0.00","3000.00","tx-10"
"bull_market_2025-buy-11","2025-04-15 05:11:29.000839+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01836021 BTC)","BTC","0.01836021","163396.83","3000.00","0.00","3000.00","tx-11"
"bull_market_2025-sell-12","2025-04-30 11:36:07.000188+00:00","Sale","bull_market_2025 sale $5000.00 (0.04453650 BTC)","BTC","-0.04453650","112267.46","5000.00","0.00","5000.00","tx-12"
"bull_market_2025-buy-13","2025-05-01 04:04:28.000788+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01651650 BTC)","BTC","0.01651650","181636.49","3000.00","0.00","3000.00","tx-13"
"bull_market_2025-buy-14","2025-05-15 14:10:57.000098+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01973919 BTC)","BTC","0.01973919","151981.91","3000.00","0.00","3000.00","tx-14"
"bull_market_2025-sell-15","2025-05-30 14:12:20.000401+00:00","Sale","bull_market_2025 sale $5000.00 (0.04543746 BTC)","BTC","-0.04543746","110041.35","5000.00","0.00","5000.00","tx-15"
"bull_market_2025-buy-16","2025-06-01 22:10:10.000842+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01863261 BTC)","BTC","0.01863261","161008.01","3000.00","0.00","3000.00","tx-16"
"bull_market_2025-buy-17","2025-06-15 19:46:16.000881+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01486339 BTC)","BTC","0.01486339","201838.19","3000.00","0.00","3000.00","tx-17"
"bull_market_2025-sell-18","2025-06-30 04:50:28.000950+00:00","Sale","bull_market_2025 sale $5000.00 (0.03507626 BTC)","BTC","-0.03507626","142546.53","5000.00","0.00","5000.00","tx-18"
"bull_market_2025-buy-19","2025-07-01 16:27:59.000584+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01702021 BTC)","BTC","0.01702021","176261.05","3000.00","0.00","3000.00","tx-19"
"bull_market_2025-buy-20","2025-07-15 16:28:32.000804+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.02001406 BTC)","BTC","0.02001406","149894.63","3000.00","0.00","3000.00","tx-20"
"bull_market_2025-sell-21","2025-07-31 01:43:23.000945+00:00","Sale","bull_market_2025 sale $5000.00 (0.03780336 BTC)","BTC","-0.03780336","132263.38","5000.00","0.00","5000.00","tx-21"
"bull_market_2025-buy-22","2025-08-01 18:37:24.000169+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01317430 BTC)","BTC","0.01317430","227716.00","3000.00","0.00","3000.00","tx-22"
"bull_market_2025-buy-23","2025-08-15 12:41:31.000050+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01441462 BTC)","BTC","0.01441462","208121.98","3000.00","0.00","3000.00","tx-23"
"bull_market_2025-sell-24","2025-08-29 22:39:14.000046+00:00","Sale","bull_market_2025 sale $5000.00 (0.02697187 BTC)","BTC","-0.02697187","185378.31","5000.00","0.00","5000.00","tx-24"
"bull_market_2025-buy-25","2025-09-01 05:30:30.000911+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01350882 BTC)","BTC","0.01350882","222077.08","3000.00","0.00","3000.00","tx-25"
"bull_market_2025-buy-26","2025-09-15 12:15:37.000220+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01842980 BTC)","BTC","0.01842980","162779.80","3000.00","0.00","3000.00","tx-26"
"bull_market_2025-sell-27","2025-09-30 07:54:51.000872+00:00","Sale","bull_market_2025 sale $5000.00 (0.02383771 BTC)","BTC","-0.02383771","209751.66","5000.00","0.00","5000.00","tx-27"
"bull_market_2025-buy-28","2025-10-01 08:44:22.000412+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01666414 BTC)","BTC","0.01666414","180027.34","3000.00","0.00","3000.00","tx-28"
"bull_market_2025-buy-29","2025-10-15 21:33:19.000088+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01061063 BTC)","BTC","0.01061063","282735.32","3000.00","0.00","3000.00","tx-29"
"bull_market_2025-sell-30","2025-10-31 17:41:51.000724+00:00","Sale","bull_market_2025 sale $5000.00 (0.02365917 BTC)","BTC","-0.02365917","211334.50","5000.00","0.00","5000.00","tx-30"
"bull_market_2025-buy-31","2025-11-01 22:57:30.000850+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01721630 BTC)","BTC","0.01721630","174253.49","3000.00","0.00","3000.00","tx-31"
"bull_market_2025-buy-32","2025-11-15 11:16:38.000482+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01377472 BTC)","BTC","0.01377472","217790.25","3000.00","0.00","3000.00","tx-32"
"bull_market_2025-sell-33","2025-11-28 16:13:01.000925+00:00","Sale","bull_market_2025 sale $5000.00 (0.01702407 BTC)","BTC","-0.01702407","293701.83","5000.00","0.00","5000.00","tx-33"
"bull_market_2025-buy-34","2025-12-01 13:49:38.000499+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01495775 BTC)","BTC","0.01495775","200564.91","3000.00","0.00","3000.00","tx-34"
"bull_market_2025-buy-35","2025-12-15 15:05:41.000177+00:00","Purchase","bull_market_2025 purchase $3000.00 (0.01226977 BTC)","BTC","0.01226977","244503.40","3000.00","0.00","3000.00","tx-35"
"bull_market_2025-sell-36","2025-12-31 10:02:10.000568+00:00","Sale","bull_market_2025 sale $5000.00 (0.01937979 BTC)","BTC","-0.01937979","258000.76","5000.00","0.00","5000.00","tx-36"
